Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
PCP4,P48539,9606.ENSP00000329403,CALML6,Q8TD86,9606.ENSP00000304643,0.972,0.329,0,0.96,,,
PCP4,P48539,9606.ENSP00000329403,CALML5,Q9NZT1,9606.ENSP00000369689,0.962,0.103,0,0.96,,,
PCP4,P48539,9606.ENSP00000329403,CALML3,P27482,9606.ENSP00000315299,0.96,0.078,0,0.959,,,
PCP4,P48539,9606.ENSP00000329403,SH3BGRL3,Q9H299,9606.ENSP00000270792,0.432,0.432,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,IQCB1,Q15051,9606.ENSP00000311505,0.292,0.292,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,TERF2IP,Q9NYB0,9606.ENSP00000300086,0.292,0.292,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,TERF1,P54274,9606.ENSP00000276603,0.237,0.237,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,POT1,Q9NUX5,9606.ENSP00000350249,0.237,0.237,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,TMEM196,Q5HYL7,9606.ENSP00000385087,0.196,0.196,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,CTSD,P07339,9606.ENSP00000236671,0.167,0.167,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,CREG1,O75629,9606.ENSP00000359540,0.165,0.165,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,UBL3,O95164,9606.ENSP00000370055,0.165,0.165,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,PM20D1,Q6GTS8,9606.ENSP00000356104,0.165,0.165,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,SVOPL,Q8N434,9606.ENSP00000405482,0.165,0.166,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,RAB27A,P51159,9606.ENSP00000379601,0.163,0.163,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,CTBS,Q01459,9606.ENSP00000359664,0.163,0.163,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,ARSF,P54793,9606.ENSP00000370519,0.161,0.162,0,0.0,,,
PCP4,P48539,9606.ENSP00000329403,GDPD3,Q7L5L3,9606.ENSP00000384363,0.161,0.162,0,0.0,,,
