Target_Uniprot_AC,Target_protein,Interactor_UniProt_AC,Interactor,Mentha_score,String_score,PPI_Structure,PDBminer_complexes_structure,PDBminer_structure
P55854,SUMO3,Q9HC62,SENP2,0.917,0.743,2IO1;AF_Huri_HuMAP,2IO1,2IO1
P55854,SUMO3,P63279,UBE2I,0.835,0.982,,,
P55854,SUMO3,Q5W0Q7,USPL1,0.832,0.544,7ZJU,7ZJU,7ZJU
P55854,SUMO3,Q9P0U3,SENP1,0.78,0.635,6NNQ,6NNQ,6NNQ
P55854,SUMO3,Q13111,CHAF1A,0.671,0.292,,,
P55854,SUMO3,Q9UHP3,USP25,0.523,0.292,,,
P55854,SUMO3,Q13569,TDG,0.523,0.292,,,
P55854,SUMO3,Q8IY92,SLX4,0.454,0.292,,,
P55854,SUMO3,Q9UBE0,SAE1,0.386,0.868,,,
P55854,SUMO3,P23497,SP100,0.376,0.512,,,
P55854,SUMO3,Q16644,MAPKAPK3,0.332,,,,
P55854,SUMO3,Q16637,SMN2,0.332,,,,
P55854,SUMO3,Q05086,UBE3A,0.332,,,,
P55854,SUMO3,P38936,CDKN1A,0.332,,,,
P55854,SUMO3,P20073,ANXA7,0.332,,,,
P55854,SUMO3,P04183,TK1,0.332,,,,
P55854,SUMO3,P02766,TTR,0.332,,,,
P55854,SUMO3,O60925,PFDN1,0.332,,,,
P55854,SUMO3,Q96HI0,SENP5,0.309,0.399,9GNN,9GNN,9GNN
P55854,SUMO3,Q9UER7,DAXX,0.309,0.385,,,
P55854,SUMO3,Q9H2X6,HIPK2,0.309,0.292,,,
P55854,SUMO3,Q6ZNA4,RNF111,0.309,0.292,,,
P55854,SUMO3,P11474,ESRRA,0.309,0.292,,,
P55854,SUMO3,P08670,VIM,0.286,,,,
P55854,SUMO3,P29590,PML,0.236,0.457,,,
P55854,SUMO3,O43290,SART1,0.236,0.292,,,
P55854,SUMO3,Q15843,NEDD8,0.236,0.292,,,
P55854,SUMO3,A4D161,FAM221A,0.236,0.198,,,
P55854,SUMO3,Q86T24,ZBTB33,0.236,0.196,,,
P55854,SUMO3,Q96IT1,ZNF496,0.236,0.195,,,
P55854,SUMO3,O15060,ZBTB39,0.236,0.195,,,
P55854,SUMO3,Q6PEW1,ZCCHC12,0.236,,,,
P55854,SUMO3,Q9UBT2,UBA2,0.21,0.956,,,
P55854,SUMO3,P0CG48,UBC,0.21,0.654,,,
P55854,SUMO3,Q16665,HIF1A,0.21,0.292,,,
P55854,SUMO3,Q8IYW5,RNF168,0.21,0.292,,,
P55854,SUMO3,Q09472,EP300,0.21,0.292,,,
P55854,SUMO3,P62508,ESRRG,0.21,0.292,,,
P55854,SUMO3,Q96EQ0,SGTB,,,AF_Huri_HuMAP,,
P55854,SUMO3,O43765,SGTA,,,AF_Huri_HuMAP,,
P55854,SUMO3,P61956,SUMO2,,0.899,,,
P55854,SUMO3,O75925,PIAS1,,0.775,,,
P55854,SUMO3,P62979,RPS27A,,0.698,,,
P55854,SUMO3,Q92466,DDB2,,0.63,,,
P55854,SUMO3,P54725,RAD23A,,0.612,,,
P55854,SUMO3,P54727,RAD23B,,0.604,,,
P55854,SUMO3,P78317,RNF4,,0.552,,,
P55854,SUMO3,P0CG47,UBB,,0.531,,,
P55854,SUMO3,Q8N2W9,PIAS4,,0.525,,,
P55854,SUMO3,Q92759,GTF2H4,,0.499,,,
P55854,SUMO3,P32780,GTF2H1,,0.499,,,
P55854,SUMO3,Q13888,GTF2H2,,0.499,,,
P55854,SUMO3,P19447,ERCC3,,0.499,,,
P55854,SUMO3,Q16531,DDB1,,0.499,,,
P55854,SUMO3,Q13889,GTF2H3,,0.499,,,
P55854,SUMO3,Q13620,CUL4B,,0.499,,,
P55854,SUMO3,Q13619,CUL4A,,0.499,,,
P55854,SUMO3,P62877,RBX1,,0.499,,,
P55854,SUMO3,Q6ZYL4,GTF2H5,,0.499,,,
P55854,SUMO3,P62987,UBA52,,0.499,,,
P55854,SUMO3,Q86WJ1,CHD1L,,0.499,,,
P55854,SUMO3,P41208,CETN2,,0.499,,,
P55854,SUMO3,P18074,ERCC2,,0.499,,,
P55854,SUMO3,P09874,PARP1,,0.499,,,
P55854,SUMO3,Q9UGN5,PARP2,,0.499,,,
P55854,SUMO3,P23025,XPA,,0.499,,,
P55854,SUMO3,Q01831,XPC,,0.499,,,
P55854,SUMO3,P63165,SUMO1,,0.499,,,
P55854,SUMO3,Q14681,KCTD2,,0.493,,,
P55854,SUMO3,P46060,RANGAP1,,0.456,,,
P55854,SUMO3,O75928,PIAS2,,0.451,,,
P55854,SUMO3,O95551,TDP2,,0.451,,,
P55854,SUMO3,Q9Y6X2,PIAS3,,0.443,,,
P55854,SUMO3,Q15691,MAPRE1,,0.424,,,
P55854,SUMO3,Q8NFZ0,FBH1,,0.418,,,
P55854,SUMO3,Q92890,UFD1,,0.391,,,
P55854,SUMO3,P12004,PCNA,,0.375,,,
P55854,SUMO3,P61086,UBE2K,,0.362,,,
P55854,SUMO3,Q99700,ATXN2,,0.359,,,
P55854,SUMO3,Q9BQF6,SENP7,,0.358,7R2E,7R2E,7R2E
P55854,SUMO3,Q9Y4E5,ZNF451,,0.335,,,
P55854,SUMO3,A6NM10,AQP12B,,0.303,,,
P55854,SUMO3,Q9GZR1,SENP6,,0.303,,,
P55854,SUMO3,Q8IXF9,AQP12A,,0.303,,,
P55854,SUMO3,P43487,RANBP1,,0.296,,,
P55854,SUMO3,Q5XPI4,RNF123,,0.292,,,
P55854,SUMO3,Q53H80,AKIRIN2,,0.292,,,
P55854,SUMO3,Q5T5X7,BEND3,,0.292,,,
P55854,SUMO3,Q8WWM7,ATXN2L,,0.292,,,
P55854,SUMO3,P05187,ALPP,,0.292,,,
P55854,SUMO3,Q8N3C0,ASCC3,,0.292,,,
P55854,SUMO3,Q9H4M7,PLEKHA4,,0.292,,,
P55854,SUMO3,P27105,STOM,,0.292,,,
P55854,SUMO3,Q9H2Y7,ZNF106,,0.292,,,
P55854,SUMO3,Q8NFD5,ARID1B,,0.292,,,
P55854,SUMO3,O76064,RNF8,,0.292,,,
P55854,SUMO3,P46937,YAP1,,0.292,,,
P55854,SUMO3,Q7LC44,ARC,,0.292,,,
P55854,SUMO3,Q96EV2,RBM33,,0.292,,,
P55854,SUMO3,Q96AQ6,PBXIP1,,0.292,,,
P55854,SUMO3,Q13129,RLF,,0.292,,,
P55854,SUMO3,O60885,BRD4,,0.292,,,
P55854,SUMO3,Q9GZV5,WWTR1,,0.292,,,
P55854,SUMO3,Q01844,EWSR1,,0.292,,,
P55854,SUMO3,Q8NCA5,FAM98A,,0.292,,,
P55854,SUMO3,P61081,UBE2M,,0.292,,,
P55854,SUMO3,Q7L2E3,DHX30,,0.292,,,
P55854,SUMO3,P49761,CLK3,,0.292,,,
P55854,SUMO3,Q16778,H2BC21,,0.292,,,
P55854,SUMO3,P62805,H4C6,,0.292,,,
P55854,SUMO3,P42694,HELZ,,0.292,,,
P55854,SUMO3,Q9HCK8,CHD8,,0.292,,,
P55854,SUMO3,Q2NL82,TSR1,,0.292,,,
P55854,SUMO3,Q8TB96,ITFG1,,0.292,,,
P55854,SUMO3,P22460,KCNA5,,0.292,,,
P55854,SUMO3,O00257,CBX4,,0.292,,,
P55854,SUMO3,P30533,LRPAP1,,0.292,,,
P55854,SUMO3,Q8IVS2,MCAT,,0.292,,,
P55854,SUMO3,O00470,MEIS1,,0.292,,,
P55854,SUMO3,Q9Y618,NCOR2,,0.292,,,
P55854,SUMO3,P06748,NPM1,,0.292,,,
P55854,SUMO3,P49116,NR2C2,,0.292,,,
P55854,SUMO3,Q7Z417,NUFIP2,,0.292,,,
P55854,SUMO3,Q02218,OGDH,,0.292,,,
P55854,SUMO3,Q9H6Z9,EGLN3,,0.292,,,
P55854,SUMO3,P49792,RANBP2,,0.266,,,
P55854,SUMO3,P35609,ACTN2,,0.252,,,
P55854,SUMO3,Q06609,RAD51,,0.245,,,
P55854,SUMO3,P05062,ALDOB,,0.236,,,
P55854,SUMO3,Q8NBQ7,AQP11,,0.236,,,
P55854,SUMO3,P15374,UCHL3,,0.231,,,
P55854,SUMO3,Q13126,MTAP,,0.226,,,
P55854,SUMO3,Q92985,IRF7,,0.225,,,
P55854,SUMO3,O15265,ATXN7,,0.225,,,
P55854,SUMO3,Q96DC9,OTUB2,,0.225,,,
P55854,SUMO3,P52209,PGD,,0.224,,,
P55854,SUMO3,P30084,ECHS1,,0.223,,,
P55854,SUMO3,O94903,PLPBP,,0.223,,,
P55854,SUMO3,Q15436,SEC23A,,0.219,,,
P55854,SUMO3,Q15437,SEC23B,,0.217,,,
P55854,SUMO3,Q5VVX9,UBE2U,,0.214,,,
P55854,SUMO3,P63146,UBE2B,,0.214,,,
